Region,Algoritmo,RMSE,R2
1,RF100,36.06899128743775,0.6449283667915122
1,RF100,35.03602465052094,0.6649746802392488
1,RF100,35.53523768861033,0.6553594034784562
1,RF100,36.10023546303114,0.6443129503341123
1,RF100,33.30270641157358,0.6973037494699094
1,RF100,35.68768596672041,0.6523960032874615
1,RF100,31.099648658349498,0.7360273396472822
1,RF100,34.319179664046764,0.6785438192464671
1,RF100,31.180292432679973,0.7346565619724943
1,RF100,35.28326464139284,0.6602296260606628
1,RF100,33.72651214968648,0.6895505854298759
1,RF100,33.17924785313262,0.6995438781318312
1,RF100,35.894377486416175,0.6483579238729407
1,RF100,32.9323916338942,0.7039980809091657
1,RF100,35.24436062127045,0.6609784879444429
1,RF100,34.99791646662008,0.6657030884002794
1,RF100,30.2244395793546,0.7506757635049581
1,RF100,34.358562275603276,0.6778056286589532
1,RF100,35.39953615437069,0.6579865961873342
1,RF100,31.444691744854275,0.7301374205326114
1,RF100,35.44984531626593,0.6570137792362393
1,RF100,35.11129808839958,0.6635335579485464
1,RF100,35.84133723188272,0.6493963820563471
2,RF100,28.10408853002359,0.8243272934753565
2,RF100,26.487586773138265,0.8439549245241966
2,RF100,25.739377625554656,0.8526461912906109
2,RF100,26.073123883591457,0.8488001295797516
2,RF100,24.193635287488398,0.8698130232865828
2,RF100,28.425921076765086,0.8202808423062844
2,RF100,26.121798735498093,0.8482350648769794
2,RF100,26.425474197217905,0.8446859082514464
2,RF100,31.363079342698647,0.7812224894902415
2,RF100,27.749211104561656,0.8287358101866416
2,RF100,29.62557035368858,0.8047915005849968
2,RF100,29.30873105107159,0.808944601377633
2,RF100,29.78179109293193,0.8027273364159805
2,RF100,29.959766950911323,0.8003624900996025
2,RF100,26.52417479169239,0.8435235282308194
2,RF100,29.972989765899403,0.800186230224364
2,RF100,27.97019385987218,0.8259972005198701
2,RF100,25.19904962670973,0.8587678383501725
2,RF100,27.053604435921095,0.8372145613724765
2,RF100,28.82171510936681,0.8152412885325152
2,RF100,24.761376137151267,0.86363125699154
2,RF100,26.151228772015173,0.8478929013313529
2,RF100,26.945685509931238,0.8385106984862134
2,RF100,26.735672921165808,0.8410181590327896
2,RF100,26.608466507807623,0.8425274084041303
2,RF100,24.189388922690604,0.8698587190139127
2,RF100,31.897407364632283,0.7737044299261975
2,RF100,26.220439267819696,0.8470867183061652
2,RF100,27.373138904214205,0.8333464822955386
2,RF100,24.71750908942024,0.8641140084518283
3,RF100,29.57627289375105,0.7239391465687425
3,RF100,29.67539787795855,0.7220856078222373
3,RF100,28.308405800713206,0.7471000392287197
3,RF100,31.35201162724705,0.6897950241278881
3,RF100,28.837681145067524,0.7375548158161743
3,RF100,28.068555754151777,0.7513674004831856
3,RF100,30.86266591616888,0.6994028821685074
3,RF100,29.347193448123953,0.7281989773538387
3,RF100,28.283784033792926,0.7475397768794332
3,RF100,28.796213749014186,0.7383090438517952
3,RF100,29.196956546788968,0.7309747127224985
3,RF100,31.73145426203351,0.6822409783880321
3,RF100,28.507523860660417,0.7435297885836272
3,RF100,27.604105066906378,0.7595275764709158
3,RF100,28.9853904603131,0.7348593925073089
3,RF100,29.557109798119605,0.7242967620629742
3,RF100,28.46119363874033,0.7443627382524263
3,RF100,28.862949293242757,0.7370946949696999
3,RF100,27.75039770884374,0.7569719735615066
3,RF100,28.299786342420543,0.7472540237952132
3,RF100,29.42403517217034,0.726773764249528
3,RF100,30.15080682907677,0.7131097338954322
3,RF100,28.57811677753241,0.7422580262937377
