Region,Año,Mes,precipitacion,evaporacion,temperaturaMax,temperaturaMin
Region 1,2020,8,138.3,181.83,29.702,15.468
Region 1,2021,8,90.15,157.9,27.3705,15.016
Region 1,2000,9,44.2,207.615,29.408,14.6915
Region 1,2001,9,98.15,164.665,26.241,11.3
Region 1,2002,9,158.7,149.775,24.4745,10.933
Region 1,2003,9,158.75,147.22,27.141,14.416
Region 1,2004,9,129.35,159.585,22.9245,10.608
Region 1,2005,9,36.65,184.13,25.6165,11.12465
Region 1,2006,9,70,127.46,24.008,10.65
Region 1,2007,9,70.9,165.73,28.275,14.508
Region 1,2008,9,73.5,144.685,27.6495,13.9915
Region 1,2009,9,101.2,144.89,21.6495,10.7583
Region 1,2010,9,91.3,169.59,22.2745,11.12465
Region 1,2011,9,69.7,175.44,22.232,9.9038
Region 1,2012,9,133.2,163.5,24.383,13.266
Region 1,2013,9,126.05,134.02,25.358,14.0995
Region 1,2014,9,81.15,156.705,27.058,14.4745
Region 1,2015,9,136.75,170.045,28.954,14.5665
Region 1,2016,9,66.95,162.085,27.4495,13.408
Region 1,2017,9,140.45,144.075,26.133,14
Region 1,2018,9,141.75,135.79,28.3125,15.0285
Region 1,2019,9,141.5,131.39,27.648625,14.5405
Region 1,2020,9,89.8,167.775,28.816,14.3645
Region 1,2021,9,194,161.8,27.333,15.283
Region 1,2000,10,7.7,175.44,27.927,12.9675
Region 1,2001,10,12.1,166.85,25.0315,9.2337
Region 1,2002,10,74.65,155.64,23.725,8.87885
Region 1,2003,10,42.1,149.43,25.6285,9.9512
Region 1,2004,10,20.6,177.59,23.322,9.32225
Region 1,2005,10,11.25,176.865,24.9995,9.6609
Region 1,2006,10,105.05,140.925,22.2175,9.97565
Region 1,2007,10,10.5,192.075,26.9675,11.36265
Region 1,2008,10,2.2,173.79,26.879,11.3225
Region 1,2009,10,40.35,145.28,22.032,9.24195
Region 1,2010,10,0.35,152.54,21.322,5.3064
