Estacion,precEne,precFeb,precMar,precAbr,precMay,precJun,precJul,precAgo,precSep,precOct,precNov,precDic,evaEne,evaFeb,evaMar,evaAbr,evaMay,evaJun,evaJul,evaAgo,evaSep,evaOct,evaNov,evaDic,tempMaxEne,tempMaxFeb,tempMaxMar,tempMaxAbr,tempMaxMay,tempMaxJun,tempMaxJul,tempMaxAgo,tempMaxSep,tempMaxOct,tempMaxNov,tempMaxDic,tempMinEne,tempMinFeb,tempMinMar,tempMinAbr,tempMinMay,tempMinJun,tempMinJul,tempMinAgo,tempMinSep,tempMinOct,tempMinNov,tempMinDic,Latitud,Longitud,Grupo
EstacionLosAlisos,22.587,13.365,5.6897,6.0461,23.31,131.75,200.92,154.22,132.7,52.805,11.415,13.91,112.9,133.37,183.08,211.04,229.93,175.96,141.89,139.32,115.9,116.33,109.67,106.77,19.819,21.659,23.146,25.471,26.674,25.082,22.974,22.723,22.686,22.526,21.822,20.299,4.75,5.668,7.624,9.8228,11.067,11.4,10.813,10.95,10.719,8.9819,7.1478,5.4045,21.742,-102.717,2
EstacionLosConos,17.346,11.476,5.4583,9.3591,22.702,82.814,124.7,113.28,74.93,32.976,10.451,9.1,107.94,126.63,187.01,209.9,240.08,205.46,169.64,159.75,134.45,131.58,114.9,102.84,22.367,24.22,26.976,29.199,30.512,28.424,26.371,25.999,25.381,25.384,24.276,22.773,2,3.3089,5.3088,7.9527,10.808,12.903,12.562,12.262,11.693,8.8825,4.8401,2.6405,21.898,-101.993,3
EstacionMalpaso,14.877,9.5628,3.9652,6.7916,18.627,88.791,135.92,126,92.758,38.598,10.878,11.723,143.55,167.39,230.88,253.59,274.03,227.58,195.09,188.44,169.92,171.63,151.66,135.67,23.972,25.765,28.477,30.88,32.397,30.866,28.627,28.43,27.677,27.444,26.222,24.329,6.4155,7.0102,8.8699,11.065,13.735,15.599,14.657,14.57,14.271,12.234,8.9893,7.3545,21.86,-102.664,2
EstacionMesillas,18.08,10.652,5.8368,7.5087,13.475,61.243,91.371,84.448,64.257,26.127,9.2375,13.445,123.87,149.38,214.02,233.94,248.13,211.18,180.96,169.87,144.03,148.49,127.24,116.35,21.958,23.686,26.473,28.821,30.246,28.914,26.777,26.524,25.658,25.563,24.369,22.381,4.217,5.61,7.5431,10.182,12.433,13.642,13.041,12.779,12.298,9.9057,6.6667,5.0307,22.313,-102.166,3
EstacionMilpillasDeArriba,20.497,14.008,4.4282,6.1432,23.865,109.22,162.87,135.53,100.3,48.43,13.251,13.186,115.98,133.99,183.65,214.59,214.74,183.31,155.68,153.19,133.07,127.01,117.09,109.07,21.391,22.738,25.328,26.929,28.462,27.874,26.124,26.186,24.98,24.834,23.157,21.471,3.9756,5.348,7.101,9.3856,11.47,12.225,12.059,11.967,11.642,9.034,6.695,4.5227,21.935,-102.551,2
EstacionMontoro,16.411,10.792,4.6714,5.17,16.564,88.6,131.35,111.26,89.44,31.2,9.5048,11.316,104.38,131.38,201.03,223.79,237.11,203.17,166.54,153.78,133.17,130.74,105.43,93.282,23.756,25.86,28.571,31.184,32.362,30.875,28.326,28.204,27.378,27.537,26.241,24.468,3.2864,4.6157,6.4339,9.178,12.182,14.282,13.801,13.498,13.073,10.114,6.238,4.0749,21.757,-102.302,3
EstacionPabellonCampoEmpresarial,15.957,7.1621,4.9855,6.48,19.607,72.909,108.08,92.537,80.706,33.782,10.276,12.36,127.02,153.47,225.94,249.41,256.95,209.25,175.33,167.85,140.24,136.93,120.36,113.37,21.807,23.668,26.329,28.695,30.103,28.703,26.594,26.688,25.826,25.308,24.085,22.312,1.5471,2.8036,5.2035,8.1146,11.39,13.37,12.918,12.595,11.869,8.4204,4.3143,2.5569,22.167,-102.293,3
EstacionPabellonDeArteaga,18.984,12.123,5.4531,3.4064,12.958,76.496,109.55,89.403,85.403,35.856,7.8966,8.029,115.09,143.31,207.59,235.39,247,196.1,168.5,166.69,135.04,128.57,111.9,103.77,22.924,25.24,27.692,29.975,31.547,30.256,28.326,28.373,27.201,26.92,25.409,23.43,4.0664,5.6567,7.9212,10.604,13.23,15.119,14.207,14.136,13.629,10.565,6.8978,4.6242,22.147,-102.279,3
EstacionPaloAlto,16.313,13.219,6.1888,7.9113,27.501,91.507,116.18,117.25,78.242,35.8,10.415,9.6888,114.4,127.61,174.87,194.2,207.6,183.27,162.13,153.93,136.36,139.74,116.91,110.32,22.39,24.255,26.951,29.281,30.765,29.141,26.71,26.617,26.02,25.817,24.514,22.782,2.6135,3.7148,5.8346,8.4647,11.241,13.269,12.963,12.722,12.157,8.9788,5.3555,3.1998,21.916,-101.969,3
EstacionPenuelas,17.89,10.794,5.3785,5.0707,17.765,87.897,138.55,113.11,101.31,31.971,10.246,12.936,120.37,136.35,197.96,221.12,231.64,200.39,161.15,155.62,138.22,139.72,125.18,113.11,22.511,24.885,27.571,29.952,31.321,29.579,27.07,26.78,26.219,26.102,24.919,22.918,3.2925,4.7575,7.0181,9.4841,12.099,13.982,13.388,13.079,12.495,9.5898,6.4744,4.0576,21.726,-102.272,3
